,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,MntTotal,TotalPurchaseTimes,TotalCmp,Age,AgeSegment,IncomeSegment,WineSegment,FruitSegment,MeatSegment,FishSegment,SweetSegment,GoldSegment
0,1957,Graduation,Single,58138.0,0,0,04-09-2012,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,1617,22,1,67,Seniors (50 and above),Medium Income,Level 3 (Frequent),PRIORITY Level,PRIORITY Level,PRIORITY Level,PRIORITY Level,Level 3 (Frequent)
1,1954,Graduation,Single,46344.0,1,1,08-03-2014,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,27,4,0,70,Seniors (50 and above),Medium Income,Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional)
2,1965,Graduation,Together,71613.0,0,0,21-08-2013,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,776,20,0,59,Seniors (50 and above),High Income,Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle)
3,1984,Graduation,Together,26646.0,1,0,10-02-2014,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,53,6,0,40,Middle Age (30-49),Low Income,Level 1 (Occasional),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional)
4,1981,PhD,Married,58293.0,1,0,19-01-2014,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,422,14,0,43,Middle Age (30-49),Medium Income,Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 2 (Middle)
5,1967,Master,Together,62513.0,0,1,09-09-2013,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,716,20,0,57,Seniors (50 and above),Medium Income,Level 3 (Frequent),Level 3 (Frequent),Level 2 (Middle),Level 1 (Occasional),Level 3 (Frequent),Level 2 (Middle)
6,1971,Graduation,Divorced,55635.0,0,1,13-11-2012,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,590,17,0,53,Seniors (50 and above),Medium Income,Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle),Level 2 (Middle),Level 3 (Frequent),Level 2 (Middle)
7,1985,PhD,Married,33454.0,1,0,08-05-2013,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,169,8,0,39,Middle Age (30-49),Low Income,Level 2 (Middle),Level 2 (Middle),Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle)
8,1974,PhD,Together,30351.0,1,0,06-06-2013,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,46,5,1,50,Seniors (50 and above),Low Income,Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional),Level 2 (Middle),Level 1 (Occasional)
9,1950,PhD,Together,5648.0,1,1,13-03-2014,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,49,1,1,74,Seniors (50 and above),Low Income,Level 2 (Middle),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 1 (Occasional),Level 2 (Middle)
